created_at,full_text,favorite_count,view_count,reply_count,retweet_count
2023-03-14T07:43:08.000Z,"Capitalism under threat in the country that's considered the poster-child of capitalism?

Or are there exceptions to the notion of free markets?",0,71027.5409252669,0,0
2023-03-14T07:43:00.000Z,@SageThinker99 @ChakaalStarr @MikeMar86082350 Since India adopted capitalism their economy is booming and they've been bringing millions out of poverty. Where before their socialist government created the worst slum in the world.,0,71027.5409252669,0,0
2023-03-14T07:42:48.000Z,"Martin Luther King Jr.
“We all too often have socialism for the rich and rugged free market capitalism for the poor.""

This was true in his era.

Now we have communism for the rich, malign neglect for the 99%.",0,71027.5409252669,0,0
2023-03-14T07:42:42.000Z,@Gavin_F_Brewis Do people just invent new days these days? I thought hyper-capitalism had reached its peak?  How many days out of the year is that now?,0,2.0,0,0
2023-03-14T07:42:30.000Z,"@SereneNecrosis This is referred to as socialist realism and is inherently counter-revolutionary. There is no ""natural development"" of socialism from capitalism. Even Marx acknowledged that he was wrong about the inevitability of socialist revolution. We must be active writers of our history.",0,71027.5409252669,0,0
2023-03-14T07:42:27.000Z,@Kw1q51lv3r Its all the aggressive monetization. Capitalism just has made games not fun.,0,71027.5409252669,0,0
2023-03-14T07:42:15.000Z,"@mcmansionhell Currently rewatching Breaking Bad.

The series is a commentary on poverty, individualism, capitalism and the system creating a perfect breeding ground for drug abuse and extreme violence to thrive.

Not at any point in it are drug abuse and violence glorified.",0,71027.5409252669,0,0
2023-03-14T07:42:11.000Z,US capitalism has been breaking down for decades.,0,1.0,0,0
2023-03-14T07:42:06.000Z,"@VargasMilan1 @BrentHodgson Oh god, please don’t come here trying to sell me free market capitalism. That’s just gross.",1,3.0,0,0
2023-03-14T07:41:51.000Z,@MAlden59 @CalltoActivism You mean capitalism?,0,71027.5409252669,0,0
2023-03-14T07:41:18.000Z,@lukesanchez99 @FilmUpdates Girl she literally works the majority of the movie wtf are you on about. The entire movie was abt capitalism and found family and shit,0,1.0,0,0
